"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"SUFU"	0.05223825	0.5030313	"DGN-WB_exp"	"0.02118390775-0.1111586375"	"0-0.97943583"
"RASGEF1A"	0.086980475	0.9033081	"DGN-WB_exp"	"0.05105998575-0.13217232"	"0.522374-0.99640422"
"TRDMT1"	0.1028406	0.86367975	"DGN-WB_exp"	"0.062273167-0.1585693425"	"0.4973728-0.992792965"
"SPRN"	0.0840781	0.87560495	"DGN-WB_exp"	"0.04970399725-0.13169352"	"0.5339858725-0.994222535"
"ZMYND11"	0.0036013315	0.4930065	"DGN-WB_exp"	"0.0001700364-0.01899635475"	"0.02644347-0.9803043"
"KIAA0913"	0.003542493	0.1461931	"DGN-WB_exp"	"0.0001126323275-0.02044361225"	"0-0.9540111"
"TMEM180"	0.3677987	0.9545817	"DGN-WB_exp"	"0.3018155-0.4695350175"	"0.819611785-0.9960827775"
"TAF5"	0.0080895995	0.49547765	"DGN-WB_exp"	"0.000355528395-0.0349477295"	"0.016709412-0.97513999"
"TAF3"	0.01223502	0.48249695	"DGN-WB_exp"	"0.00058282783-0.04326821025"	"0-0.9717907"
"PDCD4"	0.06144997	0.5333987	"DGN-WB_exp"	"0.01894540225-0.1282229025"	"0.03409431175-0.968558515"
"PDCD11"	0.051580645	0.3480215	"DGN-WB_exp"	"0.0163086775-0.1152309425"	"0-0.936155435"
"ACTR1A"	0.06127991	0.8403839	"DGN-WB_exp"	"0.03061164825-0.117030165"	"0.00147240595-0.9929465"
"ZNF487P"	0.03345199	0.6927607	"DGN-WB_exp"	"0.00904621605-0.06839296575"	"0-0.98526609"
"PIP4K2A"	0.01929707	0.48525695	"DGN-WB_exp"	"0.0035565823-0.0502040494999999"	"0.022479831-0.9805952325"
"ZWINT"	0.0047812925	0.05832859	"DGN-WB_exp"	"0.0001787014325-0.0235351945"	"0-0.938884215"
"CREM"	0.053196905	0.7711367	"DGN-WB_exp"	"0.02569882-0.1010408675"	"0.009188238875-0.99025571"
"KIAA1462"	0.0063555995	0.08632379	"DGN-WB_exp"	"0.0001937819-0.02995564575"	"0-0.9376209175"
"SMNDC1"	0.030508425	0.3902027	"DGN-WB_exp"	"0.006239846525-0.06885987"	"0-0.961390715"
"RUFY2"	0.05204788	0.8025801	"DGN-WB_exp"	"0.021689672-0.112069025"	"0.3990512-0.9868421"
"OR13A1"	0.3551609	0.9506918	"DGN-WB_exp"	"0.2855110375-0.430205"	"0.8658292-0.9902699"
"GPAM"	0.015324885	0.49187505	"DGN-WB_exp"	"0.001238136-0.05518687175"	"0.02239600525-0.9723993575"
"BAG3"	0.01514895	0.4838231	"DGN-WB_exp"	"0.0007557465-0.0556490475"	"0.02254612525-0.9718170925"
"C10orf76"	0.03294765	0.5205853	"DGN-WB_exp"	"0.0064517229-0.0795849929999999"	"0.02712468675-0.97357807"
"WDFY4"	0.3282326	0.9238212	"DGN-WB_exp"	"0.2818805-0.38364742"	"0.8326576075-0.9845837"
"EXOSC1"	0.1005355	0.7838473	"DGN-WB_exp"	"0.0626086-0.1492828"	"0.472913-0.9810483825"
"PAOX"	0.1223337	0.9064227	"DGN-WB_exp"	"0.07881940925-0.180068305"	"0.643717955-0.9954533"
"MTG1"	0.5419456	0.9941803	"DGN-WB_exp"	"0.5038396-0.5822396"	"0.9751323-0.9998349"
"PARG"	0.093892695	0.9052369	"DGN-WB_exp"	"0.05841621225-0.1454605"	"0.6760537025-0.9950169475"
"KIAA1598"	0.6228047	0.9959254	"DGN-WB_exp"	"0.5898288-0.6552543"	"0.9826779-0.9999566925"
"C10orf125"	0.1544743	0.9531552	"DGN-WB_exp"	"0.1131588-0.2083443"	"0.823809265-0.9979543"
"TFAM"	0.3192454	0.9820602	"DGN-WB_exp"	"0.2727844-0.3717871"	"0.935159095-0.9993472025"
"MGEA5"	0.003361958	0.36115015	"DGN-WB_exp"	"6.870391e-05-0.0209941642499998"	"0-0.96107825"
"COMTD1"	0.2762349	0.9869308	"DGN-WB_exp"	"0.22590388-0.3163602"	"0.92055432-0.9987413"
"FGFBP3"	0.037805345	0.7072777	"DGN-WB_exp"	"0.0116282015-0.07418673"	"0-0.987821765"
"PRAP1"	0.0078698685	0.45429185	"DGN-WB_exp"	"0.000350853975-0.03391599175"	"0-0.9671452"
"REEP3"	0.02093717	0.4666719	"DGN-WB_exp"	"0.002951694675-0.0547871052499999"	"0-0.9745517425"
"SEC31B"	0.525683	0.9938977	"DGN-WB_exp"	"0.4768287-0.5719297"	"0.9698689275-0.9995288"
"ANKRD1"	0.2643807	0.9815016	"DGN-WB_exp"	"0.2095346-0.3223466"	"0.9314507725-0.9993788"
"ANKRD2"	0.05084128	0.8944098	"DGN-WB_exp"	"0.02531155625-0.085213541"	"0.560161-0.995449775"
"SAR1A"	0.03578276	0.28251155	"DGN-WB_exp"	"0.0046061692-0.08822037275"	"0-0.93143391"
"ECD"	0.01215713	0.51832815	"DGN-WB_exp"	"0.001299923275-0.04601260175"	"0.01024068225-0.9839905325"
"SVIL"	0.1203795	0.8882619	"DGN-WB_exp"	"0.0804779045-0.177678885"	"0.6016009475-0.995261535"
"CCNY"	0.01143053	0.291481	"DGN-WB_exp"	"0.0005459308625-0.03822948125"	"0-0.96497713"
"CCNJ"	0.01783124	0.448358	"DGN-WB_exp"	"0.001097738025-0.0557710325"	"0-0.964801845"
"DLG5"	0.47555355	0.9840206	"DGN-WB_exp"	"0.4261494-0.5275847"	"0.9359879-0.9992629975"
"GSTO2"	0.2232021	0.9849655	"DGN-WB_exp"	"0.185396-0.2852313"	"0.9181221-0.9999807"
"GSTO1"	0.086427395	0.7725756	"DGN-WB_exp"	"0.0540353875-0.134351035"	"0.18480338-0.979955225"
"EIF3A"	0.012213145	0.37746765	"DGN-WB_exp"	"0.00045862131-0.045970317"	"0-0.9653408725"
"UBTD1"	0.060523115	0.62325595	"DGN-WB_exp"	"0.01649097575-0.12685274"	"0.04984792375-0.979580415"
"INPP5A"	0.057761605	0.69790985	"DGN-WB_exp"	"0.026122211-0.10296828"	"0.218670475-0.98152699"
"INPP5F"	0.02706588	0.56536465	"DGN-WB_exp"	"0.003795203525-0.06607793025"	"0.0011292295475-0.98252801"
"ANXA7"	0.0039192755	0.42736735	"DGN-WB_exp"	"0.00016838693-0.0238922095"	"0.00381185815-0.9574163925"
"BAMBI"	0.33894215	0.9606884	"DGN-WB_exp"	"0.286189835-0.3918204"	"0.885989505-0.997388925"
"DDX50"	0.0098775105	0.4097366	"DGN-WB_exp"	"0.00034364441-0.041612064"	"0-0.967599465"
"JMJD1C"	0.0065898185	0.2458245	"DGN-WB_exp"	"0.0002249316675-0.0311215675"	"0-0.9518760275"
"HNRNPH3"	0.009132203	0.4527386	"DGN-WB_exp"	"0.000425776365-0.03491145"	"0-0.9721334225"
"PAPSS2"	0.09277791	0.8146552	"DGN-WB_exp"	"0.05238570675-0.1490175"	"0.3344326775-0.9854890775"
"UROS"	0.3470255	0.9676096	"DGN-WB_exp"	"0.2819154-0.4249958"	"0.8958390775-0.9980905975"
